date,temperature,uncertainty,month,year
1783-10-01,7.356999999999998,2.6210000000000004,10,1783
1783-11-01,2.196,2.2,11,1783
1783-12-01,2.224,3.133,12,1783
1784-01-01,2.596,3.347,1,1784
1784-02-01,0.989,2.842,2,1784
1784-03-01,3.919,3.258,3,1784
1784-04-01,8.142000000000001,1.272,4,1784
1784-05-01,10.013,1.538,5,1784
1784-06-01,12.803,1.8,6,1784
1784-07-01,14.947,1.803,7,1784
1784-08-01,15.861,2.595,8,1784
1784-09-01,10.265999999999998,1.068,9,1784
1784-10-01,6.835999999999999,1.68,10,1784
1784-11-01,4.557,2.522,11,1784
1784-12-01,3.415,3.343,12,1784
1785-01-01,0.865,2.754,1,1785
1785-02-01,1.045,2.408,2,1785
1785-03-01,2.289,4.215,3,1785
1785-04-01,6.379,1.45,4,1785
1785-05-01,9.853,2.088,5,1785
1785-06-01,13.744000000000002,2.653,6,1785
1785-07-01,14.468,2.215,7,1785
1785-08-01,14.466,2.046,8,1785
1785-09-01,10.497,1.143,9,1785
1785-10-01,7.350999999999999,1.732,10,1785
1785-11-01,5.526,2.261,11,1785
1785-12-01,1.873,1.909,12,1785
1786-01-01,0.7630000000000001,2.436,1,1786
1786-02-01,2.657,2.463,2,1786
1786-03-01,5.648,2.27,3,1786
1786-04-01,9.318,3.079,4,1786
1786-05-01,11.582999999999998,2.387,5,1786
1786-06-01,13.035,1.295,6,1786
1786-07-01,15.294,2.311,7,1786
1786-08-01,14.455,3.35,8,1786
1786-09-01,12.158,2.9330000000000003,9,1786
1786-10-01,7.712000000000001,1.4380000000000002,10,1786
1786-11-01,5.7410000000000005,3.837,11,1786
1786-12-01,0.7339999999999995,2.506,12,1786
1787-01-01,2.845,3.176,1,1787
1787-02-01,2.563,2.842,2,1787
1787-03-01,4.698,3.1260000000000003,3,1787
1787-04-01,7.7719999999999985,1.5219999999999998,4,1787
1787-05-01,11.403,1.364,5,1787
1787-06-01,14.369000000000002,2.099,6,1787
1787-07-01,13.451,2.425,7,1787
1787-08-01,13.555,1.4369999999999998,8,1787
1787-09-01,10.357,1.5630000000000002,9,1787
1787-10-01,7.7719999999999985,3.312,10,1787
1787-11-01,5.801,2.844,11,1787
1787-12-01,1.7959999999999998,2.631,12,1787
1788-01-01,0.7350000000000001,2.9930000000000003,1,1788
1788-02-01,3.5810000000000004,4.039,2,1788
1788-03-01,5.336,3.057,3,1788
1788-04-01,8.713999999999999,2.657,4,1788
1788-05-01,10.428,1.336,5,1788
1788-06-01,13.808,1.262,6,1788
1788-07-01,16.468,2.9160000000000004,7,1788
1788-08-01,13.885,1.5319999999999998,8,1788
1788-09-01,11.699000000000002,1.261,9,1788
1788-10-01,9.349,2.132,10,1788
1788-11-01,6.111000000000001,1.682,11,1788
1788-12-01,1.2519999999999998,5.827000000000001,12,1788
1789-01-01,3.706,4.039,1,1789
1789-02-01,1.675,2.576,2,1789
1789-03-01,3.989,1.595,3,1789
1789-04-01,7.693999999999999,1.507,4,1789
1789-05-01,11.666,2.228,5,1789
1789-06-01,13.507,1.042,6,1789
1789-07-01,15.462,1.922,7,1789
1789-08-01,13.84,1.298,8,1789
1789-09-01,12.018,1.189,9,1789
1789-10-01,7.39,1.836,10,1789
1789-11-01,5.964,1.586,11,1789
1789-12-01,3.099,1.606,12,1789
1790-01-01,2.444,1.94,1,1790
1790-02-01,2.9730000000000003,2.5980000000000003,2,1790
1790-03-01,4.582,1.914,3,1790
1790-04-01,6.052999999999999,2.314,4,1790
1790-05-01,10.357,1.057,5,1790
1790-06-01,13.746,1.226,6,1790
1790-07-01,13.812,1.6569999999999998,7,1790
1790-08-01,13.925,1.269,8,1790
1790-09-01,11.233,1.524,9,1790
1790-10-01,8.577,1.297,10,1790
1790-11-01,5.331,1.565,11,1790
1790-12-01,2.755,2.899,12,1790
1791-01-01,1.493,5.035,1,1791
1791-02-01,3.466,2.44,2,1791
1791-03-01,4.79,2.249,3,1791
1791-04-01,9.127,1.617,4,1791
1791-05-01,9.859,1.256,5,1791
1791-06-01,13.231,1.314,6,1791
1791-07-01,13.612,1.0590000000000002,7,1791
1791-08-01,13.744000000000002,0.807,8,1791
1791-09-01,11.677,1.248,9,1791
1791-10-01,8.08,1.019,10,1791
1791-11-01,6.206,1.793,11,1791
1791-12-01,3.526,1.568,12,1791
1792-01-01,0.3480000000000003,2.516,1,1792
1792-02-01,3.62,2.434,2,1792
1792-03-01,4.428999999999999,1.692,3,1792
1792-04-01,7.994,1.368,4,1792
1792-05-01,11.321,1.101,5,1792
1792-06-01,13.581,1.406,6,1792
1792-07-01,14.212,1.362,7,1792
1792-08-01,12.281,1.395,8,1792
1792-09-01,12.491,1.072,9,1792
1792-10-01,8.097000000000001,1.39,10,1792
1792-11-01,5.306,2.145,11,1792
1792-12-01,3.388,2.524,12,1792
1793-01-01,0.5209999999999999,2.674,1,1793
1793-02-01,4.745,2.624,2,1793
1793-03-01,5.042,2.145,3,1793
1793-04-01,8.642999999999999,1.904,4,1793
1793-05-01,11.059,1.544,5,1793
